QuoteId,MinPrice,Direct,OutboundLegCarrierIds,OutboundLegOriginId,OutboundLegDestinationId,OutboundLegDepartureDate,InboundLegCarrierIds,InboundLegOriginId,InboundLegDestinationId,InboundLegDepartureDate,QuoteDateTime,OutboundPlaceIataCode,OutboundPlaceName,OutboundPlaceType,InboundPlaceIataCode,InboundPlaceName,InboundPlaceType,OutboundCarrierName,InboundCarrierName
95,17911,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-07T00:00:00,2017-04-16T10:46:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
96,20358,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-08T00:00:00,2017-04-15T05:53:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
97,20358,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-09T00:00:00,2017-04-14T03:46:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
98,19081,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-10T00:00:00,2017-04-13T15:48:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
99,91374,False,1218,43268,66270,2017-05-05T00:00:00,1218,66270,43268,2017-05-11T00:00:00,2017-04-06T16:56:00,BUD,Budapest,Station,LTN,London Luton,Station,Iberia,Iberia
100,24894,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-12T00:00:00,2017-04-05T16:41:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
101,38531,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-14T00:00:00,2017-04-13T19:02:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
102,31169,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-15T00:00:00,2017-04-11T14:58:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
103,71137,True,881,43268,65698,2017-05-05T00:00:00,881,65698,43268,2017-05-16T00:00:00,2017-04-12T18:06:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
104,54155,False,1384,43268,65698,2017-05-05T00:00:00,1384,65698,43268,2017-05-16T00:00:00,2017-04-16T16:14:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Swiss,Swiss
105,66902,False,1368,43268,82398,2017-05-05T00:00:00,1368,82398,43268,2017-05-17T00:00:00,2017-04-03T12:33:00,BUD,Budapest,Station,STN,London Stansted,Station,Lufthansa,Lufthansa
106,53528,True,881,43268,65698,2017-05-05T00:00:00,881,65698,43268,2017-05-18T00:00:00,2017-04-04T08:43:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
107,21863,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-19T00:00:00,2017-04-03T12:34:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
108,29014,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-20T00:00:00,2017-04-16T21:40:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
109,48467,True,881,43268,65698,2017-05-05T00:00:00,881,65698,43268,2017-05-23T00:00:00,2017-03-23T19:43:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
110,78529,True,881,43268,65698,2017-05-05T00:00:00,881,65698,43268,2017-05-30T00:00:00,2017-04-16T17:09:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
