QuoteId,MinPrice,Currency,Direct,OutboundLegCarrierIds,OutboundLegOriginId,OutboundLegDestinationId,OutboundLegDepartureDate,InboundLegCarrierIds,InboundLegOriginId,InboundLegDestinationId,InboundLegDepartureDate,QuoteDateTime,OutboundPlaceIataCode,OutboundPlaceName,OutboundPlaceType,InboundPlaceIataCode,InboundPlaceName,InboundPlaceType,OutboundCarrierName,InboundCarrierName
108,55621,HUF,False,1710,43268,65698,2017-05-05T00:00:00,1710,65698,43268,2017-05-30T00:00:00,2017-04-16T17:09:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Brussels Airlines,Brussels Airlines
113,33404,HUF,True,1914,43268,66270,2017-05-06T00:00:00,1914,66270,43268,2017-05-06T00:00:00,2017-04-15T19:20:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
114,23486,HUF,True,1914,43268,66270,2017-05-06T00:00:00,1914,66270,43268,2017-05-07T00:00:00,2017-04-17T11:59:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
115,22789,HUF,True,1914,43268,66270,2017-05-06T00:00:00,1914,66270,43268,2017-05-08T00:00:00,2017-04-06T09:44:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
116,21897,HUF,True,885,43268,81678,2017-05-06T00:00:00,885,81678,43268,2017-05-09T00:00:00,2017-04-12T15:29:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Flybe,Flybe
117,25758,HUF,True,1914,43268,66270,2017-05-06T00:00:00,1914,66270,43268,2017-05-10T00:00:00,2017-04-17T03:54:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
118,25955,HUF,True,885,43268,81678,2017-05-06T00:00:00,885,81678,43268,2017-05-11T00:00:00,2017-04-17T09:51:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Flybe,Flybe
120,23414,HUF,True,1914,43268,66270,2017-05-06T00:00:00,1914,66270,43268,2017-05-13T00:00:00,2017-04-13T11:14:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
121,33404,HUF,True,1914,43268,66270,2017-05-06T00:00:00,1914,66270,43268,2017-05-14T00:00:00,2017-04-13T19:04:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
122,42541,HUF,True,885,43268,81678,2017-05-06T00:00:00,885,81678,43268,2017-05-16T00:00:00,2017-04-12T18:06:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Flybe,Flybe
